|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
İkametgah Yerine Göre Doğum Sayısı|Annenin yaş grubu:-15|2009|43.0|5.0|6.0|3.0|2.0|19.0|2.0|4.0||19.0|60.0|6.0|2.0|21.0|||7.0|30.0||1.0|18.0|4.0|46.0|1.0|17.0|1.0||23.0|3.0|18.0|1.0||9.0|17.0||14.0|23.0|||17.0|4.0|10.0|2.0|15.0|10.0|1.0|2.0||6.0|6.0|12.0|31.0|18.0|4.0|32.0|4.0|8.0|1.0|11.0||8.0|7.0|12.0|1.0|3.0|15.0|7.0|3.0||6.0|68.0|3.0|4.0|4.0|1.0|1.0|2.0|82.0|28.0|60.0|22.0|
||2010|27.0|2.0|7.0||2.0|13.0|3.0|1.0||18.0|56.0|7.0|1.0|14.0||1.0|6.0|17.0||1.0|4.0|4.0|41.0||3.0|2.0|1.0|19.0||14.0|||8.0|5.0|3.0|15.0|18.0||1.0|11.0||8.0|3.0|9.0|12.0||4.0|1.0|3.0|4.0|7.0|26.0|14.0|3.0|21.0|5.0|6.0|2.0|8.0|1.0|6.0|4.0|12.0|1.0|4.0|9.0|3.0||||66.0||4.0|3.0|2.0|2.0||47.0|35.0|42.0|14.0|
||2011|25.0|4.0|3.0|6.0||9.0|2.0|1.0||11.0|30.0|6.0|1.0|9.0|2.0||3.0|15.0|1.0|2.0|7.0|1.0|32.0|1.0|7.0|2.0||14.0|2.0|13.0|1.0||8.0|17.0|1.0|15.0|9.0||1.0|11.0||10.0|1.0|2.0|10.0|2.0|2.0|4.0|2.0|2.0|6.0|23.0|7.0|1.0|24.0||9.0|4.0|7.0||1.0|5.0|12.0|1.0||10.0|7.0|||1.0|40.0|2.0|4.0||2.0|||54.0|18.0|33.0|5.0|
||2012|33.0|2.0|2.0||2.0|11.0|9.0||1.0|21.0|30.0|4.0||15.0|||2.0|14.0|||14.0|7.0|31.0|1.0|4.0|5.0|1.0|10.0|3.0|12.0|||10.0|16.0|1.0|5.0|6.0||2.0|6.0||7.0||9.0|8.0||2.0|1.0|2.0|||12.0|9.0|1.0|23.0|3.0|4.0|3.0|7.0||2.0|6.0|9.0|1.0|1.0|7.0|7.0||||42.0|1.0|2.0|1.0|1.0|||62.0|20.0|26.0|9.0|
||2013|22.0|2.0|1.0||1.0|4.0|6.0|1.0|2.0|19.0|15.0|7.0||11.0||1.0|2.0|9.0|||13.0|2.0|13.0|1.0|3.0|2.0||9.0|2.0|12.0|2.0||4.0|15.0|2.0|8.0|9.0|||6.0||4.0|3.0|9.0|7.0||1.0|||2.0|3.0|12.0|11.0||19.0|2.0|5.0|3.0|11.0||3.0||8.0|1.0||3.0|3.0|1.0|||39.0|1.0|1.0|1.0|1.0||1.0|52.0|12.0|16.0|5.0|
||2014|22.0|2.0||1.0||8.0|9.0|||16.0|13.0|4.0||11.0||1.0|1.0|15.0|1.0|1.0|12.0|4.0|13.0|1.0|4.0|||5.0|4.0|11.0|||1.0|15.0||3.0|6.0||1.0|5.0||5.0|1.0|10.0|3.0|2.0|3.0|1.0||1.0|4.0|15.0|6.0|2.0|19.0||6.0|2.0|6.0||6.0|4.0|6.0|||7.0||||3.0|34.0||1.0|1.0||||42.0|13.0|17.0|7.0|
||2015|17.0|4.0||||5.0|6.0|||7.0|8.0|4.0||9.0|||1.0|7.0|||11.0|6.0|13.0||3.0|2.0||5.0|1.0|14.0|1.0||9.0|8.0||2.0|5.0|1.0||2.0||4.0||7.0|2.0|1.0|1.0|||1.0||9.0|5.0|1.0|6.0|1.0|1.0|2.0|8.0||2.0|3.0|5.0|1.0||2.0||||2.0|22.0|1.0|1.0|1.0||||31.0|5.0|21.0|1.0|
||2016|20.0|1.0||||5.0|3.0|||7.0|6.0|1.0||4.0||||6.0|||9.0|2.0|15.0||4.0|||4.0|1.0|7.0|||2.0|11.0|1.0|2.0|4.0||2.0|1.0||5.0|1.0|15.0|4.0|||1.0|||2.0|10.0|1.0|1.0|11.0|2.0|||5.0||4.0|2.0|3.0|||1.0|1.0|1.0|||19.0|||2.0|1.0|||26.0|5.0|15.0|3.0|
||2017|10.0|||1.0|1.0|4.0|4.0|||3.0|4.0|1.0||4.0||1.0||5.0|||6.0|3.0|15.0|1.0|2.0|||5.0|1.0|16.0|||3.0|7.0||2.0|3.0|||10.0|1.0||1.0|7.0|7.0||1.0|1.0||1.0|1.0|3.0|3.0|1.0|3.0|1.0|1.0||4.0||5.0|3.0|3.0|2.0||4.0|||||10.0||||2.0||1.0|19.0|10.0|16.0|4.0|
|Annenin yaş grubu:15-19|2009|3367.0|997.0|1548.0|911.0|388.0|5478.0|2006.0|304.0|120.0|1280.0|2766.0|1013.0|226.0|1331.0|104.0|179.0|553.0|1294.0|170.0|320.0|2315.0|1033.0|3943.0|437.0|444.0|645.0|241.0|1663.0|529.0|4489.0|432.0|134.0|550.0|3261.0|399.0|609.0|2917.0|164.0|364.0|1128.0|378.0|2330.0|323.0|1603.0|3275.0|643.0|249.0|595.0|390.0|874.0|1610.0|2139.0|2104.0|729.0|1890.0|692.0|999.0|1090.0|926.0|212.0|1007.0|1742.0|1177.0|253.0|1131.0|817.0|1151.0|494.0|36.0|425.0|4315.0|155.0|1414.0|625.0|387.0|290.0|1036.0|11896.0|3454.0|4874.0|1334.0|
||2010|3123.0|944.0|1276.0|855.0|343.0|4637.0|1840.0|228.0|132.0|1134.0|2675.0|1029.0|241.0|1303.0|108.0|146.0|521.0|1195.0|158.0|266.0|2116.0|865.0|3729.0|393.0|467.0|639.0|224.0|1665.0|452.0|4163.0|380.0|114.0|516.0|3060.0|334.0|626.0|2783.0|151.0|336.0|1121.0|334.0|2134.0|363.0|1418.0|3071.0|569.0|229.0|413.0|318.0|741.0|1511.0|2034.0|2034.0|677.0|1761.0|620.0|916.0|962.0|877.0|196.0|919.0|1570.0|1152.0|207.0|1008.0|720.0|1020.0|423.0|31.0|401.0|4029.0|150.0|1056.0|564.0|347.0|237.0|898.0|10687.0|3197.0|4806.0|1296.0|
||2011|2997.0|870.0|1214.0|769.0|301.0|4437.0|1738.0|261.0|97.0|1041.0|2476.0|1074.0|196.0|1134.0|87.0|119.0|456.0|1127.0|169.0|283.0|2060.0|825.0|3699.0|367.0|408.0|539.0|208.0|1618.0|442.0|4162.0|344.0|96.0|547.0|2870.0|340.0|556.0|2554.0|126.0|264.0|1129.0|274.0|2051.0|355.0|1259.0|2937.0|467.0|208.0|380.0|330.0|695.0|1447.0|1962.0|1957.0|617.0|1537.0|536.0|881.0|910.0|777.0|143.0|841.0|1358.0|1035.0|193.0|881.0|801.0|895.0|407.0|44.0|412.0|3792.0|140.0|942.0|520.0|349.0|224.0|804.0|10534.0|3176.0|5000.0|1226.0|
||2012|2923.0|854.0|1189.0|748.0|246.0|4172.0|1720.0|249.0|84.0|1023.0|2386.0|1004.0|169.0|1100.0|86.0|134.0|498.0|1051.0|160.0|240.0|2002.0|800.0|3474.0|347.0|436.0|534.0|209.0|1484.0|431.0|4197.0|302.0|107.0|519.0|2923.0|308.0|553.0|2411.0|129.0|294.0|1010.0|248.0|2012.0|356.0|1345.0|2874.0|473.0|215.0|332.0|291.0|667.0|1413.0|1985.0|1914.0|619.0|1555.0|466.0|808.0|763.0|851.0|156.0|847.0|1371.0|1057.0|156.0|836.0|833.0|848.0|349.0|36.0|383.0|3560.0|129.0|829.0|467.0|327.0|199.0|695.0|10269.0|3135.0|5056.0|1166.0|
||2013|2961.0|742.0|1079.0|745.0|243.0|3949.0|1706.0|234.0|79.0|994.0|2266.0|972.0|162.0|1001.0|79.0|127.0|378.0|1014.0|140.0|231.0|1949.0|758.0|3292.0|366.0|355.0|437.0|199.0|1366.0|418.0|4319.0|278.0|101.0|529.0|2896.0|300.0|608.0|2371.0|111.0|299.0|919.0|238.0|1835.0|346.0|1278.0|2747.0|377.0|216.0|280.0|255.0|582.0|1406.0|1822.0|1918.0|610.0|1470.0|472.0|740.0|734.0|750.0|129.0|780.0|1190.0|903.0|153.0|747.0|826.0|720.0|303.0|31.0|379.0|3569.0|128.0|679.0|376.0|331.0|177.0|532.0|9788.0|3010.0|4916.0|1075.0|
||2014|2810.0|743.0|1093.0|714.0|212.0|3771.0|1589.0|188.0|53.0|867.0|2167.0|868.0|157.0|950.0|77.0|97.0|386.0|1019.0|147.0|205.0|1842.0|705.0|3399.0|314.0|358.0|469.0|160.0|1353.0|400.0|4427.0|231.0|87.0|462.0|2965.0|288.0|508.0|2239.0|110.0|256.0|886.0|205.0|1890.0|349.0|1295.0|2636.0|336.0|224.0|276.0|244.0|514.0|1223.0|1816.0|1741.0|515.0|1486.0|448.0|655.0|672.0|732.0|123.0|773.0|1055.0|893.0|144.0|655.0|788.0|631.0|282.0|44.0|383.0|3280.0|138.0|702.0|363.0|281.0|156.0|538.0|9584.0|2750.0|4967.0|1057.0|
