Türkiye;Adana;Adıyaman;Afyon;Ağrı;Amasya;Ankara;Antalya;Artvin;Aydın;Balıkesir;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Çanakkale;Çankırı;Çorum;Denizli;Diyarbakır;Edirne;Elazığ;Erzincan;Erzurum;Eskişehir;Gaziantep;Giresun;Gümüşhane;Hakkari;Hatay;Isparta;Mersin;İstanbul;İzmir;Kars;Kastamonu;Kayseri;Kırklareli;Kırşehir;Kocaeli;Konya;Kütahya;Malatya;Manisa;Kahramanmaraş;Mardin;Muğla;Muş;Nevşehir;Niğde;Ordu;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdağ;Tokat;Trabzon;Tunceli;Şanlıurfa;Uşak;Van;Yozgat;Zonguldak;Aksaray;Bayburt;Karaman;Kırıkkale;Batman;Şırnak;Bartın;Ardahan;Iğdır;Yalova;Karabük;Kilis;Osmaniye;Düzce
2004;5.961;4.176;2.612;3.929;1.931;4.251;9.302;8.167;4.594;4.839;5.276;6.892;2.301;2.099;6.971;5.580;6.940;5.994;4.549;3.903;6.137;2.895;5.140;3.570;4.688;3.058;6.302;4.199;3.249;4.067;2.643;3.622;5.050;4.691;10.235;7.359;2.623;4.788;5.320;6.168;3.874;8.790;4.372;4.077;3.428;5.307;3.585;2.350;6.640;2.327;4.541;3.855;3.072;4.478;5.381;4.061;2.091;4.065;3.740;8.287;3.143;4.466;4.543;2.478;4.465;1.945;3.359;3.586;3.488;3.268;5.401;3.850;2.846;2.522;3.802;2.866;2.960;5.955;4.211;2.855;2.853;4.951
2005;7.304;5.160;3.218;4.738;2.347;5.232;11.420;9.672;5.740;5.641;6.557;8.901;2.942;2.600;8.628;6.818;8.597;7.449;5.404;4.629;7.023;3.392;6.283;4.467;5.601;3.627;7.953;5.001;4.484;4.825;3.178;4.523;6.117;5.837;12.428;8.912;3.023;5.443;6.676;7.548;4.964;11.016;5.361;5.096;4.579;6.815;4.407;2.900;8.158;2.946;5.079;4.657;4.198;5.547;6.620;5.040;2.680;4.738;4.498;9.824;3.783;5.678;5.516;2.944;5.248;2.478;4.079;4.508;4.373;3.793;6.677;5.054;3.484;2.979;4.650;3.036;3.831;7.109;5.139;3.967;3.578;5.986
2006;7.906;5.541;3.474;5.120;2.338;5.449;12.368;10.479;6.565;6.323;6.865;9.751;3.047;2.844;9.276;7.306;9.366;7.906;5.482;4.831;7.740;3.703;6.569;4.900;6.042;3.918;8.712;5.389;4.723;5.156;3.419;4.810;6.531;6.279;13.444;9.770;3.349;5.669;7.181;8.009;4.974;12.436;5.738;5.520;4.488;7.310;4.275;3.218;8.964;3.064;5.224;4.733;4.499;6.138;7.309;5.513;2.936;4.996;4.859;10.217;4.051;6.214;5.813;3.078;5.645;2.635;4.166;4.939;4.636;4.053;6.534;5.545;3.769;3.236;4.891;3.527;4.297;7.824;5.774;4.017;3.765;6.786
2007;9.656;6.792;4.231;6.313;2.817;6.420;15.486;12.627;8.082;7.114;8.365;12.357;3.864;3.620;11.039;8.842;11.396;9.701;6.708;5.867;9.067;4.461;8.100;6.119;7.502;4.851;10.649;6.305;5.530;6.392;4.314;5.896;7.950;7.686;16.457;11.641;4.096;7.140;8.698;9.903;6.010;15.301;7.005;6.877;5.514;8.458;5.415;3.876;10.471;3.679;6.444;5.880;5.418;7.420;8.724;6.582;3.511;6.102;5.887;12.489;4.909;7.576;7.263;3.591;6.779;3.257;5.135;6.203;5.791;5.140;8.563;6.601;4.401;3.991;5.924;4.471;5.030;9.715;7.032;4.967;4.810;8.316
2008;10.931;7.632;4.920;7.269;3.066;7.923;17.338;13.748;9.550;7.982;9.738;14.180;4.429;4.079;12.684;10.146;12.706;11.075;7.817;7.117;9.923;4.848;9.460;6.965;8.790;5.656;11.973;6.949;6.667;7.225;4.735;6.697;9.111;8.778;18.622;12.954;4.535;8.170;9.636;11.319;6.789;17.396;7.943;8.382;6.223;9.885;6.297;4.384;11.586;4.227;7.283;6.529;6.112;8.333;9.894;7.770;4.056;6.975;6.897;13.823;5.910;8.598;8.089;4.007;8.203;3.737;5.857;6.822;6.586;5.504;9.744;7.816;5.187;4.431;6.567;4.981;5.865;10.649;8.154;5.136;5.674;9.569
2009;8.980;6.479;4.003;6.169;2.726;6.922;14.289;11.131;7.712;6.532;8.329;11.359;3.827;3.419;10.561;8.612;10.086;9.052;6.553;5.971;7.829;4.140;7.987;5.914;7.722;5.053;9.757;5.613;5.399;6.175;3.951;5.423;7.776;7.193;15.185;10.403;4.051;6.928;7.691;9.544;6.040;13.235;6.818;6.950;5.341;8.204;5.405;3.825;9.596;3.770;6.148;5.615;4.925;7.132;7.981;6.342;3.811;5.891;6.005;10.978;5.044;7.198;7.273;3.306;6.928;3.136;5.192;5.538;5.702;5.120;8.202;6.456;4.138;3.914;5.462;4.465;4.993;8.960;6.524;4.714;4.699;7.559
2010;10.560;7.809;4.870;7.458;3.781;7.883;15.978;13.582;9.469;7.796;9.592;12.391;4.739;4.159;12.269;10.191;11.630;11.340;7.638;7.355;9.453;5.037;9.918;7.061;9.216;6.202;11.254;6.657;6.453;7.580;4.689;6.750;8.606;8.575;17.480;12.190;5.201;8.292;9.048;11.883;7.775;16.004;7.706;8.052;6.234;9.003;6.599;5.086;11.568;4.800;7.882;6.800;5.835;8.653;9.370;7.562;4.791;7.158;7.461;13.272;5.923;8.543;9.412;4.302;8.452;3.792;6.383;6.840;7.007;6.488;8.214;7.863;5.320;4.681;6.563;6.273;5.819;10.395;7.753;5.841;6.496;8.951
2011;11.205;8.072;5.163;7.666;3.645;8.213;16.340;13.974;9.509;8.126;9.895;13.158;5.044;4.558;13.088;10.324;12.564;11.875;8.225;7.542;10.298;5.349;9.977;7.312;9.971;6.407;11.972;7.173;6.567;8.235;4.710;7.315;9.302;8.918;18.587;13.098;5.363;8.800;9.784;12.159;8.208;18.087;8.389;8.457;6.696;9.357;6.762;5.296;12.103;5.068;8.330;7.431;6.026;8.959;9.990;7.870;5.162;7.661;8.066;14.420;6.016;8.940;9.463;4.337;9.308;4.044;6.701;7.627;7.288;6.437;8.945;8.864;5.621;4.929;7.171;6.221;5.907;11.864;8.864;5.199;6.800;9.501
2012;11.588;8.499;5.296;7.834;3.931;8.643;16.318;13.626;9.982;8.481;10.052;14.232;5.472;5.042;13.322;10.505;12.933;12.030;8.463;7.584;10.584;5.585;10.256;7.686;10.955;6.630;12.467;7.445;6.882;8.361;5.085;7.332;9.544;9.357;19.223;13.654;5.700;9.021;10.146;12.583;8.122;18.468;8.535;8.694;6.868;10.871;6.903;5.729;12.233;5.481;8.117;7.608;6.368;9.727;10.517;8.435;5.472;8.008;8.427;14.606;6.420;9.467;9.724;4.421;9.718;4.654;6.716;7.745;7.375;7.244;10.141;8.901;5.584;5.439;7.656;6.770;6.605;11.876;8.874;5.586;6.789;10.292
2013;12.480;9.079;6.041;8.357;4.111;9.274;17.590;14.237;10.469;8.966;10.334;15.751;5.941;5.747;14.366;10.871;14.035;12.376;8.951;8.034;11.461;6.035;10.777;8.108;11.269;7.172;13.760;8.519;7.140;8.834;5.458;7.855;9.779;9.783;20.726;14.695;5.729;9.312;11.027;13.214;8.448;20.572;9.550;9.238;7.251;11.254;7.460;6.206;12.793;5.748;8.794;7.930;6.720;10.296;11.378;9.008;5.873;8.530;8.897;15.673;6.748;10.239;10.482;4.643;10.366;4.873;7.317;8.604;7.978;7.747;11.641;9.604;5.739;5.953;8.188;6.710;6.681;12.845;9.797;6.832;7.323;10.946
