Türkiye;Adana;Adıyaman;Afyon;Ağrı;Amasya;Ankara;Antalya;Artvin;Aydın;Balıkesir;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Çanakkale;Çankırı;Çorum;Denizli;Diyarbakır;Edirne;Elazığ;Erzincan;Erzurum;Eskişehir;Gaziantep;Giresun;Gümüşhane;Hakkari;Hatay;Isparta;Mersin;İstanbul;İzmir;Kars;Kastamonu;Kayseri;Kırklareli;Kırşehir;Kocaeli;Konya;Kütahya;Malatya;Manisa;Kahramanmaraş;Mardin;Muğla;Muş;Nevşehir;Niğde;Ordu;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdağ;Tokat;Trabzon;Tunceli;Şanlıurfa;Uşak;Van;Yozgat;Zonguldak;Aksaray;Bayburt;Karaman;Kırıkkale;Batman;Şırnak;Bartın;Ardahan;Iğdır;Yalova;Karabük;Kilis;Osmaniye;Düzce
1995;23.512.442;366.771;330.228;332.651;107.942;286.998;1.053.795;496.110;126.142;454.159;372.195;65.617;128.312;106.015;155.717;151.067;603.755;217.081;124.504;953.582;651.447;176.185;193.011;301.593;154.736;407.785;370.951;695.024;277.759;60.475;90.118;343.038;495.635;548.356;825.616;624.701;138.415;343.151;326.775;335.367;454.058;169.745;1.145.730;365.320;364.417;409.136;436.272;171.171;155.610;155.660;472.446;266.911;304.880;114.268;188.947;456.175;71.186;212.263;836.043;157.008;267.379;280.072;89.264;277.339;169.466;212.569;393.427;151.677;175.216;143.878;118.700;164.089;52.446;25.153;50.017;60.067;16.920;20.208;78.248;66.282;0;0
1996;22.869.817;262.057;322.783;301.667;133.197;250.065;863.453;448.970;128.926;401.345;380.417;72.853;132.493;113.261;188.720;139.289;605.330;218.343;124.870;979.065;728.276;162.931;141.549;344.326;125.254;300.031;335.368;818.341;226.134;60.905;81.752;311.053;509.794;512.171;680.302;646.336;138.676;297.474;327.680;328.212;407.485;158.742;1.015.083;344.010;349.406;442.166;336.156;167.849;244.410;143.354;415.490;259.337;281.069;105.993;180.638;465.550;127.235;201.842;765.924;156.378;328.766;333.952;100.465;342.939;182.488;189.589;408.046;135.742;204.525;157.995;124.191;163.109;64.060;24.109;58.776;62.980;18.472;19.317;80.865;57.861;99.784;0
1997;23.298.459;209.615;458.384;361.163;212.702;277.667;666.206;424.836;109.821;414.377;412.250;50.955;100.516;104.262;154.776;196.924;562.053;201.409;127.090;1.028.032;853.563;187.800;118.051;369.922;132.394;264.583;302.645;762.951;301.404;56.405;77.950;314.027;586.427;434.848;618.414;622.118;156.566;339.894;396.879;392.595;358.592;170.216;929.582;381.462;369.659;407.899;291.470;179.097;137.926;183.370;460.343;274.149;313.618;130.223;203.707;481.490;129.199;191.687;836.011;155.533;286.395;364.158;111.327;325.690;222.568;273.408;323.029;185.551;199.735;159.575;126.334;191.203;75.489;52.441;65.638;67.115;21.195;10.022;83.826;76.353;129.700;0
1998;21.075.577;114.842;485.350;373.668;196.423;277.121;552.549;429.051;80.152;388.417;340.795;50.473;84.534;79.558;130.440;131.986;425.515;135.056;131.177;866.710;771.446;198.703;120.677;337.921;132.615;282.880;277.202;1.007.202;184.592;53.901;59.471;256.933;596.161;390.493;460.490;790.267;127.850;260.758;309.776;389.690;260.321;154.732;650.164;459.454;362.487;402.432;202.504;168.243;154.383;185.809;509.022;176.369;300.976;135.111;244.093;453.384;171.240;179.416;749.350;137.480;200.915;325.520;88.899;188.279;227.513;258.120;242.685;177.046;175.268;105.854;90.862;127.524;73.439;40.056;34.109;68.718;21.528;9.696;85.276;74.303;120.152;0
1999;20.898.473;166.441;534.939;375.470;156.245;280.187;614.787;453.807;77.573;316.605;330.802;45.846;69.363;117.917;97.878;130.666;410.337;145.315;125.505;629.883;832.512;221.854;113.907;335.157;143.904;258.022;204.629;972.989;223.528;55.369;45.900;250.411;629.933;454.103;485.197;791.341;129.101;276.256;342.546;446.503;280.726;82.697;773.410;474.471;367.098;373.199;168.783;222.212;134.741;142.831;520.517;211.812;327.760;127.534;161.484;492.884;196.741;156.167;717.565;116.058;164.524;298.782;97.346;139.616;144.449;300.997;224.115;141.141;174.915;90.115;87.440;124.178;78.439;42.901;40.893;72.005;27.367;0;109.407;81.877;116.548;0
2000;19.975.215;172.238;479.529;440.678;120.774;269.030;412.976;491.866;74.570;409.490;307.145;40.571;81.456;170.741;36.625;126.177;401.864;140.292;122.506;555.609;655.518;231.080;114.700;331.202;129.735;337.736;183.221;586.145;223.137;65.102;77.432;251.765;450.973;647.104;387.055;522.927;112.794;261.688;404.163;423.119;302.879;60.967;702.248;438.872;390.083;324.398;172.475;316.569;141.136;153.045;497.718;195.577;373.253;104.541;145.817;514.022;203.598;154.992;659.753;116.541;208.300;325.107;98.931;190.348;117.008;359.754;240.287;113.128;132.119;83.890;80.815;145.629;81.605;31.686;45.810;52.279;16.864;0;110.882;82.755;207.632;31.169
2001;20.964.172;229.812;439.166;517.320;151.847;271.059;445.691;577.800;82.596;461.603;321.019;46.200;101.633;168.109;48.510;135.721;442.668;140.052;163.524;564.183;632.109;275.344;129.587;342.136;136.969;314.274;181.246;647.988;217.225;59.738;85.686;266.654;428.682;683.678;415.621;462.770;127.353;244.240;469.164;431.927;270.964;114.236;720.596;516.740;396.075;412.008;214.852;247.360;156.815;181.978;480.784;175.565;379.271;95.843;165.326;541.679;198.973;169.888;620.253;104.817;207.481;289.742;78.997;232.842;159.778;381.730;218.202;146.843;182.442;88.686;84.382;162.257;113.417;18.364;53.025;47.485;17.969;1.219;118.820;96.157;202.524;36.883
2002;20.179.482;407.651;458.496;593.602;147.412;213.436;443.896;567.307;92.757;469.310;333.768;62.089;108.069;191.390;42.152;123.019;460.772;150.977;204.230;351.511;593.881;326.668;126.925;337.305;154.400;332.093;155.430;763.271;227.622;80.988;84.379;218.859;373.935;522.148;367.011;461.786;120.769;208.397;236.879;423.144;297.740;113.784;484.471;636.111;433.476;503.939;233.236;147.644;153.199;191.337;377.435;137.638;368.030;98.212;195.861;419.776;169.792;156.812;471.733;111.949;216.320;280.306;80.300;231.782;104.212;323.406;193.277;193.220;182.566;94.111;73.609;190.040;119.993;30.886;68.067;59.060;33.650;6.883;143.855;106.302;177.871;29.857
2003;17.827.177;339.117;410.812;451.155;96.104;113.285;471.754;541.212;78.524;347.313;262.121;52.643;70.248;162.957;58.168;139.418;417.935;142.098;205.510;366.264;454.873;265.431;104.132;329.549;118.370;333.187;120.223;677.438;224.641;67.913;92.359;173.012;263.046;438.473;340.245;438.865;103.946;165.533;337.656;275.283;254.846;84.276;426.079;490.062;400.344;305.855;280.970;300.530;174.760;228.975;283.833;137.141;331.243;92.205;185.511;380.760;168.665;115.752;457.063;113.493;179.550;238.309;71.602;312.733;109.740;164.448;188.773;125.043;196.729;81.674;73.588;179.011;78.259;56.141;62.601;50.216;19.801;10.416;80.906;74.999;178.312;31.150
2004;20.516.562;587.735;348.935;375.316;80.040;159.060;476.994;475.156;80.116;425.835;377.093;32.933;58.606;179.545;60.081;179.680;435.926;158.769;257.965;446.502;553.027;342.552;119.463;342.611;126.621;449.084;138.369;659.188;420.785;66.146;92.457;190.553;297.862;635.568;405.970;464.634;93.387;126.716;487.404;274.599;271.209;99.140;721.410;299.618;463.342;414.306;298.286;324.766;214.756;303.814;453.087;142.581;315.071;109.286;220.464;567.208;229.178;194.577;504.258;125.127;182.051;305.953;112.435;377.470;116.962;456.276;171.349;173.437;179.283;83.136;76.020;190.986;107.854;59.841;50.818;32.432;34.471;10.868;0;0;0;40.153
2005;20.706.526;496.350;366.001;396.840;119.091;103.152;505.052;456.050;81.124;486.358;367.303;34.686;45.893;184.911;69.381;182.431;420.754;149.704;258.808;421.947;533.556;402.874;122.647;358.465;165.869;366.880;147.118;671.559;419.700;66.209;84.500;239.562;282.948;621.566;360.220;462.795;92.563;108.611;452.372;302.003;282.643;112.722;610.502;289.976;454.629;381.107;375.625;270.595;221.635;345.920;412.571;126.430;328.379;99.531;205.281;710.909;232.877;204.903;456.255;130.478;187.510;249.723;82.578;392.706;108.770;410.677;163.618;196.339;181.879;57.234;79.486;194.092;111.200;49.061;50.014;43.847;63.185;14.166;107.261;73.067;192.931;36.361
2006;21.138.821;387.357;288.985;313.658;148.725;89.123;503.439;375.022;85.083;366.967;372.766;57.907;39.504;209.398;79.296;198.602;428.121;200.196;220.722;494.989;584.301;483.888;125.658;375.894;189.609;381.900;145.740;786.950;373.984;60.706;160.040;272.045;346.204;574.103;363.497;434.931;125.552;120.141;286.439;274.438;284.667;93.935;705.785;261.789;640.720;375.294;354.555;456.468;235.819;408.099;384.566;121.025;357.720;123.867;159.093;623.246;180.350;193.165;485.328;117.698;221.658;235.983;110.501;480.159;124.856;285.128;199.355;165.902;174.102;60.118;100.869;193.290;94.884;120.259;51.092;35.444;71.474;12.763;111.336;95.018;251.023;54.538
2007;20.228.517;424.467;317.904;276.359;142.586;101.452;483.839;304.576;97.334;381.516;395.316;59.270;62.007;188.547;78.689;209.789;405.352;169.991;253.128;523.172;584.744;567.365;158.302;396.002;184.535;432.568;157.081;582.687;345.198;74.862;172.996;291.385;346.931;555.521;318.874;362.191;120.053;130.273;222.960;245.745;308.910;108.882;814.464;243.450;632.753;351.330;285.456;269.485;235.638;437.967;340.546;116.952;309.989;133.164;165.538;519.215;101.222;189.325;481.140;105.364;206.610;269.132;64.326;458.157;145.159;166.674;178.586;123.320;137.105;38.044;109.659;194.893;102.050;126.516;44.182;45.339;66.835;16.467;101.936;88.359;215.787;53.024
2008;19.034.750;397.868;279.349;272.397;161.924;93.887;489.702;312.613;89.317;443.226;351.340;73.256;78.591;187.248;82.159;182.209;372.132;179.352;263.968;528.381;504.063;657.079;158.801;397.301;158.613;430.011;197.491;521.335;399.275;75.353;168.544;216.126;262.271;490.108;306.992;305.555;118.910;121.014;195.493;188.808;345.208;101.336;737.377;241.084;367.647;344.658;332.990;325.274;231.892;319.089;333.367;118.245;263.374;125.759;171.348;412.300;135.374;177.969;419.366;123.864;231.527;269.374;46.594;403.271;115.738;141.154;150.646;102.620;116.985;35.308;101.154;195.997;94.549;110.461;55.260;44.458;32.430;13.468;97.195;85.120;199.402;52.456
2009;19.929.836;405.801;221.256;177.592;146.596;104.661;596.555;338.069;110.445;497.987;349.321;89.425;84.765;165.169;103.429;195.247;325.821;204.279;275.742;543.398;508.719;471.101;202.683;353.797;141.278;446.077;280.363;493.366;410.432;73.335;140.464;261.347;249.102;513.555;347.261;334.541;89.325;134.165;218.184;248.131;363.473;145.761;859.335;255.312;394.441;549.898;369.834;267.282;240.520;319.822;341.197;110.272;306.551;114.736;165.274;387.192;135.838;162.556;367.405;143.743;316.754;261.159;56.129;588.167;87.671;113.729;145.880;107.905;175.622;33.045;89.851;180.597;109.848;196.191;63.028;41.841;48.826;15.335;107.465;67.398;201.982;68.187
2010;19.280.441;413.421;224.664;229.340;166.681;112.473;550.424;328.322;104.309;361.504;371.057;112.020;143.340;133.015;102.319;197.593;278.094;223.652;272.706;529.534;510.612;293.394;264.283;318.949;145.447;285.855;300.715;621.765;453.041;79.691;140.399;234.263;224.650;493.243;397.956;345.531;101.687;138.835;250.978;168.193;359.674;131.615;890.003;241.134;277.301;590.174;312.639;267.624;203.949;333.739;317.981;105.692;334.091;112.985;164.183;409.765;127.923;185.359;326.678;117.780;265.035;271.012;46.943;505.645;86.425;94.042;135.691;108.407;193.905;38.122;65.488;173.572;110.727;135.818;63.991;51.039;63.903;13.858;94.846;62.396;193.360;71.972
