year;city;population
2007;İstanbul;11174257
2008;İstanbul;12569041
2009;İstanbul;12782960
2010;İstanbul;13120596
2011;İstanbul;13483052
2012;İstanbul;13710512
2013;İstanbul;14160467
2014;Istanbul;14377018
2015;Istanbul;14657434
2016;Istanbul;14804116
2017;Istanbul;15029231
2018;Istanbul;15067724
2007;Tekirdağ;494342
2008;Tekirdağ;521554
2009;Tekirdağ;530278
2010;Tekirdağ;545481
2011;Tekirdağ;572359
2012;Tekirdağ;589049
2013;Tekirdağ;874475
2014;Tekirdag;906732
2015;Tekirdag;937910
2016;Tekirdag;972875
2017;Tekirdag;1005463
2018;Tekirdag;1029927
2007;Edirne;259809
2008;Edirne;262039
2009;Edirne;264213
2010;Edirne;261920
2011;Edirne;272294
2012;Edirne;276579
2013;Edirne;279508
2014;Edirne;283845
2015;Edirne;289433
2016;Edirne;290723
2017;Edirne;298264
2018;Edirne;300198
2007;Kırklareli;212390
2008;Kırklareli;218071
2009;Kırklareli;217144
2010;Kırklareli;219333
2011;Kırklareli;229000
2012;Kırklareli;232154
2013;Kırklareli;232309
2014;Kirklareli;236502
2015;Kirklareli;243018
2016;Kirklareli;248017
2017;Kirklareli;253754
2018;Kirklareli;256750
2007;Balıkesir;649423
2008;Balıkesir;662199
2009;Balıkesir;678732
2010;Balıkesir;694926
2011;Balıkesir;701213
2012;Balıkesir;711743
2013;Balıkesir;1162761
2014;Balikesir;1189057
2015;Balikesir;1186688
2016;Balikesir;1196176
2017;Balikesir;1204824
2018;Balikesir;1226575
2007;Çanakkale;247443
2008;Çanakkale;248008
2009;Çanakkale;255220
2010;Çanakkale;269035
2011;Çanakkale;268082
2012;Çanakkale;278055
2013;Çanakkale;288770
2014;Çanakkale;297086
2015;Çanakkale;302186
2016;Çanakkale;308141
2017;Çanakkale;319786
2018;Çanakkale;326026
2007;İzmir;3175133
2008;İzmir;3450537
2009;İzmir;3525202
2010;İzmir;3606326
2011;İzmir;3623540
2012;İzmir;3661930
2013;İzmir;4061074
2014;Izmir;4113072
2015;Izmir;4168415
2016;Izmir;4223545
2017;Izmir;4279677
2018;Izmir;4320519
2007;Aydın;536758
2008;Aydın;556700
2009;Aydın;573884
2010;Aydın;588552
2011;Aydın;599973
2012;Aydın;611846
2013;Aydın;1020957
2014;Aydin;1041979
2015;Aydin;1053506
2016;Aydin;1068260
2017;Aydin;1080839
2018;Aydin;1097746
2007;Denizli;460747
2008;Denizli;620193
2009;Denizli;630997
2010;Denizli;641093
2011;Denizli;655322
2012;Denizli;670812
2013;Denizli;963464
2014;Denizli;978700
2015;Denizli;993442
2016;Denizli;1005687
2017;Denizli;1018735
2018;Denizli;1027782
2007;Muğla;310527
2008;Muğla;329126
2009;Muğla;339757
2010;Muğla;350050
2011;Muğla;362513
2012;Muğla;373937
2013;Muğla;866665
2014;Mugla;894509
2015;Mugla;908877
2016;Mugla;923773
2017;Mugla;938751
2018;Mugla;967487
2007;Manisa;841059
2008;Manisa;843999
2009;Manisa;868809
2010;Manisa;924267
2011;Manisa;891084
2012;Manisa;904513
2013;Manisa;1359463
2014;Manisa;1367905
2015;Manisa;1380366
2016;Manisa;1396945
2017;Manisa;1413041
2018;Manisa;1429643
2007;Afyonkarahisar;355073
2008;Afyonkarahisar;355753
2009;Afyonkarahisar;363717
2010;Afyonkarahisar;365421
2011;Afyonkarahisar;370411
2012;Afyonkarahisar;377845
2013;Afyonkarahisar;396621
2014;Afyonkarahisar;402241
2015;Afyonkarahisar;410322
2016;Afyonkarahisar;417851
2017;Afyonkarahisar;422268
2018;Afyonkarahisar;424667
2007;Kütahya;350255
2008;Kütahya;347073
2009;Kütahya;358725
2010;Kütahya;383572
2011;Kütahya;362274
2012;Kütahya;375267
2013;Kütahya;382126
2014;Kütahya;387953
2015;Kütahya;393115
2016;Kütahya;399598
2017;Kütahya;402348
2018;Kütahya;404603
2007;Uşak;217267
2008;Uşak;217567
2009;Uşak;221714
2010;Uşak;225570
2011;Uşak;228785
2012;Uşak;233659
2013;Uşak;238563
2014;Usak;242889
2015;Usak;248683
2016;Usak;253733
2017;Usak;258744
2018;Usak;273837
2007;Bursa;1979999
2008;Bursa;2204874
2009;Bursa;2249974
2010;Bursa;2308574
2011;Bursa;2359804
2012;Bursa;2402012
2013;Bursa;2740970
2014;Bursa;2787539
2015;Bursa;2842547
2016;Bursa;2901396
2017;Bursa;2936803
2018;Bursa;2994521
2007;Eskişehir;625453
2008;Eskişehir;653663
2009;Eskişehir;669444
2010;Eskişehir;681854
2011;Eskişehir;700355
2012;Eskişehir;710830
2013;Eskişehir;799724
2014;Eskisehir;812320
2015;Eskisehir;826716
2016;Eskisehir;844842
2017;Eskisehir;860620
2018;Eskisehir;871187
2007;Bilecik;145126
2008;Bilecik;137677
2009;Bilecik;148330
2010;Bilecik;173389
2011;Bilecik;153017
2012;Bilecik;154952
2013;Bilecik;160798
2014;Bilecik;163509
2015;Bilecik;167692
2016;Bilecik;174671
2017;Bilecik;179248
2018;Bilecik;180302
2007;Kocaeli;894242
2008;Kocaeli;1392733
2009;Kocaeli;1422752
2010;Kocaeli;1459772
2011;Kocaeli;1499958
2012;Kocaeli;1527407
2013;Kocaeli;1676202
2014;Kocaeli;1722795
2015;Kocaeli;1780055
2016;Kocaeli;1830772
2017;Kocaeli;1883270
2018;Kocaeli;1906391
2007;Sakarya;594114
2008;Sakarya;622046
2009;Sakarya;633158
2010;Sakarya;646899
2011;Sakarya;664813
2012;Sakarya;680637
2013;Sakarya;917373
2014;Sakarya;932706
2015;Sakarya;953181
2016;Sakarya;976948
2017;Sakarya;990214
2018;Sakarya;1010700
2007;Düzce;157894
2008;Düzce;184022
2009;Düzce;190625
2010;Düzce;194128
2011;Düzce;198756
2012;Düzce;201434
2013;Düzce;210127
2014;Düzce;217224
2015;Düzce;224282
2016;Düzce;235697
2017;Düzce;244068
2018;Düzce;250162
2007;Bolu;157938
2008;Bolu;169486
2009;Bolu;170071
2010;Bolu;169962
2011;Bolu;175553
2012;Bolu;181613
2013;Bolu;190276
2014;Bolu;195357
2015;Bolu;203696
2016;Bolu;213544
2017;Bolu;218001
2018;Bolu;220274
2007;Yalova;122075
2008;Yalova;131599
2009;Yalova;132803
2010;Yalova;139388
2011;Yalova;142881
2012;Yalova;149421
2013;Yalova;155016
2014;Yalova;160803
2015;Yalova;167558
2016;Yalova;175319
2017;Yalova;181036
2018;Yalova;192288
2007;Ankara;4140890
2008;Ankara;4395888
2009;Ankara;4513921
2010;Ankara;4641256
2011;Ankara;4762116
2012;Ankara;4842136
2013;Ankara;5045083
2014;Ankara;5150072
2015;Ankara;5270575
2016;Ankara;5346518
2017;Ankara;5445026
2018;Ankara;5503985
2007;Konya;1412343
2008;Konya;1423546
2009;Konya;1450682
2010;Konya;1486653
2011;Konya;1527937
2012;Konya;1563863
2013;Konya;2079225
2014;Konya;2108808
2015;Konya;2130544
2016;Konya;2161303
2017;Konya;2180149
2018;Konya;2205609
2007;Karaman;147210
2008;Karaman;151822
2009;Karaman;155932
2010;Karaman;159834
2011;Karaman;162487
2012;Karaman;165564
2013;Karaman;168686
2014;Karaman;172322
2015;Karaman;175790
2016;Karaman;180165
2017;Karaman;182510
2018;Karaman;186664
2007;Antalya;1127634
2008;Antalya;1273940
2009;Antalya;1331743
2010;Antalya;1392974
2011;Antalya;1450209
2012;Antalya;1492674
2013;Antalya;2158265
2014;Antalya;2222562
2015;Antalya;2288456
2016;Antalya;2328555
2017;Antalya;2364396
2018;Antalya;2426356
2007;Isparta;274204
2008;Isparta;264855
2009;Isparta;280154
2010;Isparta;311064
2011;Isparta;277327
2012;Isparta;283459
2013;Isparta;289203
2014;Isparta;294030
2015;Isparta;300255
2016;Isparta;307162
2017;Isparta;315533
2018;Isparta;322023
2007;Burdur;148789
2008;Burdur;145409
2009;Burdur;151158
2010;Burdur;159508
2011;Burdur;152408
2012;Burdur;157690
2013;Burdur;165970
2014;Burdur;167736
2015;Burdur;171237
2016;Burdur;175427
2017;Burdur;181030
2018;Burdur;183351
2007;Adana;1611262
2008;Adana;1763351
2009;Adana;1805145
2010;Adana;1836432
2011;Adana;1864591
2012;Adana;1886624
2013;Adana;2149260
2014;Adana;2165595
2015;Adana;2183167
2016;Adana;2201670
2017;Adana;2216475
2018;Adana;2220125
2007;Mersin;1056331
2008;Mersin;1229431
2009;Mersin;1270621
2010;Mersin;1281048
2011;Mersin;1303018
2012;Mersin;1327870
2013;Mersin;1705774
2014;Mersin;1727255
2015;Mersin;1745221
2016;Mersin;1773852
2017;Mersin;1793931
2018;Mersin;1814468
